data;pais;valor
06/07/2013;BRASIL;R$ 951,50
08/11/2011;MÉXICO;R$ 77,56
29/12/2009;MÉXICO;R$ 358,94
12/12/2017;BRASIL;R$ 18,55
31/07/2015;CHILE;R$ 3,21
28/04/2010;MÉXICO;R$ 80,69
21/01/2003;CHILE;R$ 736,48
23/10/2017;ARGENTINA;R$ 320,65
21/01/2007;ARGENTINA;R$ 170,34
30/03/2018;ARGENTINA;R$ 527,78
30/04/2020;CHILE;R$ 60,71
13/05/2010;ARGENTINA;R$ 111,90
15/10/2001;ARGENTINA;R$ 901,45
21/03/2009;CHILE;R$ 678,25
11/09/2009;ARGENTINA;R$ 441,80
15/11/2002;ARGENTINA;R$ 386,68
09/06/2009;ARGENTINA;R$ 385,45
22/04/2012;ESPANHA;R$ 113,54
03/12/2005;CHILE;R$ 591,21
19/08/2018;ESPANHA;R$ 852,56
15/01/2003;ARGENTINA;R$ 339,58
31/05/2016;ARGENTINA;R$ 994,69
20/09/2002;ARGENTINA;R$ 310,65
03/05/2019;CHILE;R$ 435,33
20/05/2002;ARGENTINA;R$ 351,31
28/02/2004;MÉXICO;R$ 354,28
27/12/2009;BRASIL;R$ 400,60
01/08/2000;CHILE;R$ 956,51
16/04/2015;ESPANHA;R$ 876,31
11/08/2017;BRASIL;R$ 542,73
10/09/2015;ESPANHA;R$ 863,07
13/05/2016;ESPANHA;R$ 636,60
07/11/2015;BRASIL;R$ 88,10
02/05/2002;ESPANHA;R$ 657,10
05/04/2004;MÉXICO;R$ 267,73
31/07/2002;BRASIL;R$ 877,82
31/01/2000;BRASIL;R$ 633,73
03/03/2003;ARGENTINA;R$ 19,69
27/03/2019;MÉXICO;R$ 170,12
11/05/2011;BRASIL;R$ 577,67
14/08/2018;ESPANHA;R$ 940,21
29/08/2019;MÉXICO;R$ 748,25
21/06/2007;ESPANHA;R$ 944,38
28/04/2007;ESPANHA;R$ 507,81
02/09/2007;BRASIL;R$ 948,52
08/03/2014;ARGENTINA;R$ 756,16
21/12/2015;BRASIL;R$ 612,65
18/03/2001;ESPANHA;R$ 974,79
04/06/2014;ESPANHA;R$ 498,03
07/04/2017;CHILE;R$ 47,66
20/05/2012;ESPANHA;R$ 766,86
08/04/2007;ESPANHA;R$ 287,55
30/11/2001;ESPANHA;R$ 348,72
03/12/2003;ESPANHA;R$ 991,95
10/10/2003;CHILE;R$ 977,23
03/05/2018;ESPANHA;R$ 51,92
19/04/2016;ARGENTINA;R$ 113,96
05/07/2008;CHILE;R$ 227,86
09/04/2012;MÉXICO;R$ 214,20
06/12/2017;ESPANHA;R$ 480,85
01/05/2005;ESPANHA;R$ 297,10
23/08/2016;CHILE;R$ 164,17
27/11/2016;MÉXICO;R$ 237,63
25/07/2010;CHILE;R$ 156,44
08/03/2007;ESPANHA;R$ 432,92
25/08/2020;ESPANHA;R$ 139,17
07/03/2001;ESPANHA;R$ 124,54
01/12/2006;ARGENTINA;R$ 786,26
24/05/2011;ARGENTINA;R$ 328,89
04/07/2012;ARGENTINA;R$ 616,36
14/08/2006;CHILE;R$ 728,05
01/10/2016;ARGENTINA;R$ 839,26
16/10/2014;CHILE;R$ 121,78
25/07/2014;BRASIL;R$ 718,98
20/08/2009;CHILE;R$ 504,03
16/10/2019;CHILE;R$ 642,06
07/01/2001;ESPANHA;R$ 659,94
29/06/2000;ARGENTINA;R$ 524,56
07/08/2009;CHILE;R$ 210,51
14/07/2004;ESPANHA;R$ 16,42
06/10/2018;MÉXICO;R$ 464,10
17/07/2002;CHILE;R$ 3,75
12/12/2000;CHILE;R$ 115,12
10/07/2017;MÉXICO;R$ 125,67
